Gene_Symbol	DSS
OR4F5	0
SAMD11	0.537652442227899
NOC2L	0.810133563748288
KLHL17	-0.0227998516276937
PLEKHN1	0.250180154299277
PERM1	0.535099501067263
HES4	0.427775842752318
ISG15	0.0560324185538787
AGRN	0.50676964481057
RNF223	1.01245106771109
C1orf159	0.864888064709185
TTLL10	0.766897758235996
TNFRSF18	0.0145119981570123
TNFRSF4	-0.403459990683936
SDF4	0.326141647089081
B3GALT6	0.716889080572405
UBE2J2	0.679140947947431
SCNN1D	0.0678753253285609
ACAP3	0.784132742219331
PUSL1	0.875987008434946
CPTP	0.712191352798418
TAS1R3	0.0783801854578257
DVL1	0.746394820117275
MXRA8	-0.0123898619849817
AURKAIP1	0.573294662769921
CCNL2	0.791577364679115
MRPL20	0.554337135286182
ANKRD65	0.552255301209768
TMEM88B	1.01466907826206
VWA1	0.365874492329504
ATAD3C	0.546156993024243
ATAD3B	0.739508757770466
ATAD3A	0.755022244556863
TMEM240	0.581701999623658
SSU72	0.578555103717428
FNDC10	0.671707592883744
MIB2	0.620087523038853
MMP23B	0.310428450952246
CDK11B	0.631109453765277
SLC35E2B	0.899974466520042
CDK11A	0.759009405856508
NADK	0.584108705509914
GNB1	0.659550399349284
CALML6	0.436473331473582
TMEM52	0.977841364719608
CFAP74	0.848214064854894
GABRD	0.25952578923529
PRKCZ	0.715714257913454
FAAP20	0.596866254395612
SKI	0.248384809311725
MORN1	0.709172150843027
RER1	0.624429922418854
PEX10	0.576896301915044
PLCH2	-0.0280410343396273
PANK4	0.689825559878375
HES5	0.523497163335729
TNFRSF14	-0.0447364339416757
MMEL1	0.906520933963363
TTC34	0.490273710625994
ACTRT2	-0.469841472779711
PRDM16	0.00502463305125212
ARHGEF16	0.55887896250086
MEGF6	0.275490750138299
TPRG1L	0.667861931487987
WRAP73	0.771129142449866
TP73	0.271101566192834
CCDC27	0.610451203065476
SMIM1	0.110068706773942
LRRC47	0.715393006729999
CEP104	0.712633524197342
DFFB	0.77687523311295
C1orf174	0.703722629518309
AJAP1	-0.285296176478238
NPHP4	0.643284178200536
KCNAB2	0.21969724654684
CHD5	0.94705565695384
RPL22	0.606623162136036
RNF207	0.555372997643811
ICMT	0.360708127149337
HES3	0.352401115779268
GPR153	0.0119906200587043
ACOT7	0.431045258764483
HES2	-0.0195255623915703
ESPN	0.655186645577831
TNFRSF25	0.522439953786776
PLEKHG5	0.503653366869784
NOL9	0.656428509100701
TAS1R1	0.572187536949051
ZBTB48	0.681598392849719
KLHL21	0.628599985921719
PHF13	0.689520247769514
THAP3	0.669195923208395
DNAJC11	0.722407654821364
CAMTA1	0.519748249988242
VAMP3	0.322239157998281
PER3	0.263569971667223
UTS2	0.184795727775126
TNFRSF9	-0.0836647725269842
PARK7	0.613716169596684
ERRFI1	0.0602058896105049
SLC45A1	0.142969920953283
RERE	0.714439035684189
ENO1	0.673995146565523
CA6	0.078853690824926
SLC2A7	0.082002198246434
SLC2A5	0.0617960361694826
GPR157	0.546936399565486
H6PD	0.431785489950591
SPSB1	0.181507911984349
SLC25A33	0.874676443467359
TMEM201	0.835452942388826
PIK3CD	0.017028013647355
CLSTN1	0.588032016221804
CTNNBIP1	0.765471829213228
LZIC	0.784286516184811
NMNAT1	0.87501474756147
RBP7	0.0993638978263503
UBE4B	0.63007472121797
